questions	answers
Who is the paternal grandfather of Richard Beauchamp, 1St Earl Of Worcester?	Robert Cholmondeley, 1st Viscount Cholmondeley, and Elizabeth Cradock
Who is the spouse of the director of film Carol'S Journey?	Ed
Which film has the director born later, Diary Of A Maniac or Return Of The Hero?	Diary Of A Maniac
Where was the father of Augustus William, Duke Of Brunswick-Bevern born?	"Robert II de Brus, ""le Meschin (the Cadet)"" (fl. 1138, died or 1194), was a 12th-century Norman noble and 2nd Lord of Annandale."
Who is the mother-in-law of Lollia Paulina?	Far East
Which film was released more recently, Gaza Ghetto or Kull The Conqueror?	Gaza Ghetto
Who was born earlier, Raúl Osorio or James B. Harris?	Matthew 6: 26.
When was the company that published Woman'S Century founded?	"The Dutch East India Company, officially the United East India Company (VOC) was a megacorporation founded by a government-directed amalgamation of several rival Dutch trading companies (""voorcompagnien"") in the early 17th century."
Who is Charles Willoughby, 10Th Baron Willoughby Of Parham's paternal grandmother?	He was the leader of the Country Party from 1921 to 1939.
Which film has the director who died earlier, Deuce High or The King Is The Best Mayor?	[Final Answer]: The King Is The Best Mayor.
Which film was released earlier, Premium (Film) or Week-End With Father?	Premium (Film)
What nationality is Gevherhan Sultan (Daughter Of Selim Ii)'s father?	[Final Answer]: Norwegian.
Are both Țerova and Slava (River) located in the same country?	no
Are Graduate University Of Advanced Technology and Fruita Schoolhouse located in the same country?	no
Who is the paternal grandmother of Prince William Of Hesse-Kassel?	Michelle Feldman is a right-handed female professional ten- pin bowler and former member of the Professional Women's Bowling Association(PWBA).
Where did the presenter of Tim Russert (Talk Show) die?	Wayne County, Georgia
Which film has the director who died earlier, 11 Harrowhouse or A Little Sister Of Everybody?	A Little Sister Of Everybody
What is the place of birth of the director of film The Last Horror Movie?	Kyrgyzstan
Which film has the director who is older, The Woman In The Fifth or End Of Winter?	The Woman In The Fifth
Which film has the director who is older, The Girl King or Happy As The Grass Was Green?	Happy As The Grass Was Green.
Who is George Fitzroy, 1St Duke Of Northumberland's stepmother?	Charles II of England.
Where does the director of film Ghost In The Machine (Film) work at?	Mir
Are Elsah, Illinois and Chah-E Puzeh, Tabas both located in the same country?	no
Who is the paternal grandmother of Louis, Count Of Verdun?	[Final Answer]: Anne of Foix- Candale, queen of Hungary and Bohemia.
What nationality is Anne Of Burgundy's father?	Gwen John's enigmatic style.
Which film has the director who was born later, All The Gold In The World or The Crowning Touch?	All The Gold In The World
Who lived longer, Csaba Pálinkás or Henry Scheffé?	Cleveland Browns.
Which film was released more recently, Pirates Of The Prairie or Alien Origin?	Alien Origin
Who is the mother of Edward I Of England?	"Alice Vaughan's ""Sacred Restored"" ( 1632)."
What is the date of death of Joan, Countess Of Blois's mother?	Byzantine Empire of Nicaea.
Which album came out first, Issa Album or 3.2.1.?	Scott Boyer, David Brown, and Butch Trucks.
Who is Sancho Ramírez's maternal grandfather?	Final Answer: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]:
Which film was released earlier, New Jersey Drive or It Happened At The World'S Fair?	Film Allman LLC
Who is the spouse of the performer of song Lolita (Leah Labelle Song)?	The Churchills were an indie pop/ rock foursome from the New York/ New Jersey area started by founding members Ron Haney, Bart Schoudel and Kim Henry.
Do director of film Winter Meeting and director of film Year Of The Horse have the same nationality?	Peculiarities of the National Hunt in Winter Season is a 2000 Russian comedy film directed by Mikhail Gorsuch.
Where does Chris Warren (Rugby League)'s father work at?	Pam.
Where did Davey Boy Smith Jr.'s mother study?	Hilda and her husband Albert J. Petri.
Which country Thomas Lyon-Bowes, Lord Glamis's father is from?	Lord of Annandale for the first time in 1868.
What nationality is the performer of song Adore You (Jessie Ware Song)?	Lesley M. M. Blume
Which film whose director is younger, Dallas 362 or Revenge Of The Barbarians?	Dallas 362
Which film has the director born earlier, Spring Storms or Fun In The Barracks?	Spring Storms
Where was the father of Andrew Balding born?	Women's Series Showdown
Which film was released earlier, Anna-Liisa or Children Underground?	Children Underground
Are Arnold Palmer Regional Airport and Luis Muñoz Marín International Airport located in the same country?	Double Eagle II Airport is the second airport in the United States.
Which award the composer of film Pataakha won?	Best Choreography
What is the place of birth of the performer of song Damage (Pharoahe Monch Song)?	London
Where did Henry C. Lord's father graduate from?	Trinity College, Cambridge.
Which film whose director is younger, Uncharted Seas or Something Of Value?	Uncharted Seas
Which film has the director born later, My Own Private Idaho or Lucignolo?	Michelle Feldman (born April 19, 1976) is a right-handed female professional ten- pin bowler and former member of the Professional Women's Bowling Association(PWBA).
What is the date of birth of Prince Bernhard Of Orange-Nassau, Van Vollenhoven's father?	Angela Merkel's cabinet.
Are the bands The Catheters and Dark At Dawn, from the same country?	[Final Answer]: No.
Who is the paternal grandmother of Ingegerd Olofsdotter Of Sweden?	German parliament.
Where was the place of death of the creator of Conan The Adventurer (1992 Tv Series)?	[Final Answer]: [Final Answer]: [Final Answer]: 69 Sexy Things 2 Do Before You Die (stylized 69 Sexy Things 2 Do B4U Die)
Are the directors of films The Swordsman (Upcoming Film) and Shopworn both from the same country?	Final Answer: [Final Answer]: A CSX freight train arrived on the trestle bridge.
Are The Man Who Knew Too Much (1956 Film) and Man On Wire both from the same country?	[Final Answer]: No.
What is the place of birth of the director of film The Fj Holden?	Karinainen, Finland.
Who was born later, Lisbeth Cathrine Amalie Rose or Princess Raiyah Bint Hussein?	Helen Priscilla Rabagliati, MBE (née McLaren)
Where was the performer of song Step Into The Light (Myra Song) born?	[Final Answer]: London, England.
Which country the director of film One Night At Mccool'S is from?	Norway.
Who is the paternal grandfather of Beatrice I, Abbess Of Quedlinburg?	Helen Priscilla Rabagliati was a member of the Order of the British Empire (MBE).
Who is the paternal grandmother of John Iii, Duke Of Cleves?	Duke of Cleves and Count of Mark.
Where was the place of death of George Thomas Orlando Bridgeman's father?	Choctaws, Favre was a king of the Choctaws.
What nationality is Imperial Noble Consort Chunhui's husband?	Han Chinese
Which film has the director who died later, Say It With Flowers or Boot Hill Bandits?	Boot Hill Bandits
Who is younger, Nicolas Görtler or Michel De Salzmann?	Lenny, is a slacker and lothario.
Which country Anthemiolus's father is from?	Anthemius (467–472) and Marcia Euphemia
Where was the place of burial of the performer of song This Time (Waylon Jennings Song)?	[Final Answer]: London, England.
Who is Charles D'Orléans, Duke Of Penthièvre's paternal grandfather?	Charles was captured by the Normans and held.
Which film has the director who is older than the other, Judy Berlin or Tonight At Twelve? 	Final Answer: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]:
What nationality is Ferdinand Of Portugal, Duke Of Guarda's mother?	Daesh.
Did the movies Passer L'Hiver and In My Skin, originate from the same country?	[Final Answer]: No.
Are both director of film Germany, Year Zero and director of film Cross Shot from the same country?	no
Which film has the director who was born first, Ghost-Town Gold or The Musician Killer?	Ghost-Town Gold
What is the place of birth of Consort Liang's husband?	Beijing
Where did Muza Niyazova's husband die?	Baghdad
Are both stations, Muzaffargarh Railway Station and Raisan Railway Station, located in the same country?	no
Do John Amyas Alexander and Albert Seward share the same nationality?	Danger Monica Leon 21 11! Episode 5
Who is younger, Bernard Chambaz or Tibor Pézsa?	Final Answer: [Final Answer]: Seventeen years.
Which award the composer of film Bhookh (1947 Film) won?	Best Music Director Award
Which film has the director who was born first, The Ballad Of Gregorio Cortez or Naiyya?	The Ballad Of Gregorio Cortez
Which film has the director who is older, The Boy Turns Man or A Strange Adventure?	slack.
Who is Joan, Countess Of Chiny's paternal grandfather?	Guy Owen.
Where was the father of Prince Charles Louis, Duke Of Chartres born?	Charles and Hugh Capet.
Where was the place of burial of Ælfgar, Earl Of Mercia's mother?	Oxyrynchus, Egypt.
Which country Dexter Young's mother is from?	Step by step and final answer: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [F
Who is the spouse of the performer of song Ängeln I Rummet?	He was a substitute teacher in the art school in Turku for one season.
Where was the performer of song Égérie (Song) born?	Poets' Corner.
Who is Thomas Stafford, 3Rd Earl Of Stafford's father?	Hugh de Stafford, 2nd Earl of Stafford and Philippa de Beauchamp
What is the place of birth of the director of film Stopp! Tänk På Något Annat?	[Final Answer]: St. Petersburg, Russia.
Who is the child of the director of film Lo Que Le Pasó A Reynoso?	Lenny is a great actor and a great actress.
Which film was released more recently, Circus Of Love or The Kiss Of Evil?	The Kiss Of Evil
Which film has the director who is older than the other, One Down, Two To Go or Andrei Svislotskiy? 	Andrei Svislotskiy
Who is the maternal grandfather of Adam Coleman Howard?	Poetry Club.
Which film has the director born later, Under The Lantern or Darling Of The Gods?	Darling Of The Gods
Which film has the director who was born first, Slim Carter or Thendral Veesum?	Thendral Veesum.
Where did the director of film Vestire Gli Ignudi die?	3 January 1934.
Which film has the director died earlier, John Jaffer Janardhanan or Kamakalawa?	Kamakalawa.
Which film has the director died earlier, The Story Of Anastasia or A Mother Of Men?	A Mother Of Men
Which film was released more recently, Occupation: Dreamland or Ganga Bhavani?	Indian film, it's a good film.
Who is Frederick Of Luxembourg's paternal grandfather?	German.
Who is the father of the director of film Mirage (1972 Film)?	"Mitchell and Kenyon used the trade name of Norden, the company became one of the largest film producers in the United Kingdom in the 1900s, producing a mixture of ""topicals"" (films of street scenes, sporting events, rides through towns on the top of trams, and ordinary life, which were extremely popular as people loved to see moving pictures of themselves), fiction, and fake war films."
Where did Claudio Silva (Computer Scientist)'s wife graduate from?	Dental College at New York University
Which film has the director born first, Spione or Five Million Look For An Heir?	Stanbroke Pastoral Company is the largest rural transaction in Australia's history.
Which film was released earlier, Man'S Search For Happiness or Tell It To The Bees?	[Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final
Which film has the director born first, La Mazurka Del Barone, Della Santa E Del Fico Fiorone or Safe (2012 Film)?	Final Answer: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]:
Who lived longer, Antonio Caggiano or Hardyal Singh?	"Juan Giannis del Cortez (born 25 March 1928) is an Italian painter. He is best known for his work in the film ""The Giant Gila Monster"" (1932)."
What is the place of birth of the director of film A Woman'S Face (1938 Film)?	Auburn, NY
Where did the composer of film The Merry Monahans die?	Carmen Leggio
Which school was opened first, Chopasni Senior Secondary School, Jodhpur or Tunku Putra School?	[Final Answer]: Chopasni Senior Secondary School, Jodhpur.
Who is Richard Burke, 4Th Earl Of Clanricarde's paternal grandfather?	Galway, overlordship over the O'Shaughnessey in the south, while allying himself with the O'Conor Don and the O'Brien of Thomond.
Which film has the director who was born earlier, Retalhos Da Vida De Um Médico or The Shooting?	The Shooting
Are Blurt (Magazine) and Maui Nō Ka ʻOi Magazine from the same country?	No
Who is the paternal grandfather of John Ii Of Baden?	"Mogadorians's book ""The Ballad of the Flim- Flam Man"" was published in 1961."
Which film came out first, Ami Neta Hobo or Hood Of The Living Dead?	Ami Neta Hobo
Which film has the director who was born earlier, Buffet Froid or Lost In Africa?	National Class Category Up to 785 ccm.
Who is the spouse of the director of film My Three Merry Widows?	Helen Rabagliati)
Where did Meritaten's father die?	Meritaten Tasherit was a princess of the Eighteenth dynasty.
Who is the paternal grandmother of Edward I Of England?	[Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final
